unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1581541200000,2020-02-12 21:00:00,BTC/USDT,10377.90,10410.00,10315.21,10373.28,2757.95,28610839.85,
1581537600000,2020-02-12 20:00:00,BTC/USDT,10313.47,10383.97,10313.47,10377.90,1900.69,19692584.21,
1581534000000,2020-02-12 19:00:00,BTC/USDT,10345.78,10350.54,10313.00,10313.47,1633.72,16881963.91,
1581530400000,2020-02-12 18:00:00,BTC/USDT,10354.91,10359.00,10319.00,10345.78,1282.61,13261997.24,
1581526800000,2020-02-12 17:00:00,BTC/USDT,10339.77,10364.52,10312.77,10354.91,1710.51,17686300.44,
1581523200000,2020-02-12 16:00:00,BTC/USDT,10314.56,10374.94,10294.00,10339.77,2496.77,25809406.53,
1581519600000,2020-02-12 15:00:00,BTC/USDT,10346.12,10348.26,10250.00,10314.56,3103.41,31971316.09,
1581516000000,2020-02-12 14:00:00,BTC/USDT,10370.00,10415.00,10284.46,10346.12,3438.70,35589533.11,
1581512400000,2020-02-12 13:00:00,BTC/USDT,10336.39,10380.22,10327.05,10370.00,2337.22,24218675.17,
1581508800000,2020-02-12 12:00:00,BTC/USDT,10343.40,10344.99,10291.93,10336.39,1830.63,18888941.06,
1581505200000,2020-02-12 11:00:00,BTC/USDT,10305.83,10370.75,10288.77,10343.40,2697.95,27892505.81,
1581501600000,2020-02-12 10:00:00,BTC/USDT,10275.96,10325.00,10243.25,10305.83,2475.35,25491782.78,
1581498000000,2020-02-12 09:00:00,BTC/USDT,10292.30,10293.13,10236.44,10275.96,2204.05,22632507.03,
1581494400000,2020-02-12 08:00:00,BTC/USDT,10366.00,10371.72,10226.44,10292.30,4441.79,45746477.49,
1581490800000,2020-02-12 07:00:00,BTC/USDT,10328.24,10450.00,10306.02,10366.00,5237.74,54284516.95,
1581487200000,2020-02-12 06:00:00,BTC/USDT,10319.53,10343.01,10269.25,10328.24,2169.01,22353424.94,
1581483600000,2020-02-12 05:00:00,BTC/USDT,10269.00,10333.28,10256.65,10319.53,2097.68,21608206.37,
1581480000000,2020-02-12 04:00:00,BTC/USDT,10263.00,10300.66,10256.78,10269.00,1235.86,12707217.68,
1581476400000,2020-02-12 03:00:00,BTC/USDT,10252.94,10287.20,10241.79,10263.00,1343.50,13793251.77,
1581472800000,2020-02-12 02:00:00,BTC/USDT,10279.40,10291.39,10226.43,10252.94,1293.49,13267603.69,
1581469200000,2020-02-12 01:00:00,BTC/USDT,10318.97,10319.71,10266.03,10279.40,1532.96,15774869.36,
1581465600000,2020-02-12 12:00:00,BTC/USDT,10223.08,10320.00,10223.08,10318.97,2925.18,30067096.12,
1581462000000,2020-02-11 23:00:00,BTC/USDT,10204.00,10252.90,10183.47,10223.08,1544.74,15793600.89,
1581458400000,2020-02-11 22:00:00,BTC/USDT,10199.73,10220.78,10179.92,10204.00,904.72,9228301.47,
1581454800000,2020-02-11 21:00:00,BTC/USDT,10222.04,10228.71,10168.75,10199.73,1098.11,11202026.81,
1581451200000,2020-02-11 20:00:00,BTC/USDT,10247.73,10260.00,10206.65,10222.04,1283.49,13126685.93,
